ALCOHOLTIME,POLICE_ATTEND,SPEED_ZONE,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,LONGITUDE,LATITUDE,class
0.0,0.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,144.78416,-37.84441,3
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,145.71504,-38.33192,1
0.0,0.0,60.0,0.0,1.0,0.0,1.0,1.0,1.0,145.92132,-38.15866,4
0.0,0.0,100.0,0.0,2.0,0.0,0.0,1.0,1.0,144.23363,-38.07643,1
0.0,0.0,100.0,0.0,0.0,1.0,4.0,1.0,4.0,145.14647,-38.09653,1
0.0,0.0,80.0,0.0,0.0,2.0,0.0,0.0,2.0,145.4752,-38.07092,3
0.0,0.0,80.0,0.0,0.0,1.0,1.0,1.0,1.0,144.96767,-37.82595,3
0.0,0.0,100.0,0.0,0.0,3.0,0.0,2.0,1.0,145.13373,-37.79763,1
0.0,0.0,60.0,0.0,0.0,2.0,4.0,3.0,3.0,144.92989,-37.59772,4
0.0,0.0,60.0,2.0,1.0,0.0,1.0,3.0,1.0,144.76238,-38.3535,4
0.0,0.0,60.0,0.0,0.0,1.0,2.0,0.0,3.0,144.21985,-37.60016,4
0.0,0.0,80.0,0.0,0.0,1.0,3.0,2.0,2.0,145.3144,-37.98903,3
0.0,0.0,60.0,0.0,0.0,2.0,1.0,1.0,2.0,144.3183,-38.32227,4
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,144.86877,-37.13471,1
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,146.77967,-38.00853,1
0.0,0.0,70.0,0.0,0.0,1.0,3.0,1.0,3.0,145.02735,-37.63156,0
0.0,0.0,100.0,0.0,0.0,2.0,1.0,1.0,2.0,144.25762,-37.88637,1
0.0,0.0,90.0,0.0,1.0,0.0,1.0,2.0,0.0,144.65965,-37.72846,7
0.0,0.0,60.0,0.0,0.0,1.0,1.0,2.0,0.0,143.83663,-37.57275,4
0.0,0.0,60.0,0.0,1.0,0.0,1.0,1.0,1.0,144.66445,-37.8756,4
0.0,0.0,40.0,0.0,0.0,1.0,2.0,0.0,3.0,147.62694,-37.82714,6
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,141.51289,-36.38627,1
0.0,0.0,60.0,0.0,0.0,1.0,3.0,2.0,2.0,146.31254,-36.37084,4
0.0,0.0,100.0,0.0,0.0,2.0,1.0,0.0,3.0,145.16044,-38.4966,1
0.0,0.0,80.0,0.0,0.0,1.0,1.0,1.0,1.0,143.84655,-37.51274,3
0.0,0.0,100.0,0.0,0.0,2.0,1.0,1.0,2.0,143.26995,-36.7818,1
0.0,0.0,70.0,0.0,0.0,1.0,1.0,0.0,2.0,144.68995,-37.87832,0
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,146.23697,-37.58852,1
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,144.65286,-37.90297,4
0.0,0.0,50.0,0.0,0.0,4.0,0.0,3.0,1.0,142.20226,-36.71024,2
0.0,0.0,80.0,0.0,0.0,1.0,1.0,0.0,2.0,145.13584,-38.16055,3
0.0,0.0,100.0,0.0,0.0,1.0,2.0,1.0,2.0,144.91647,-37.83117,1
0.0,0.0,60.0,0.0,0.0,1.0,1.0,2.0,0.0,144.35411,-38.09872,4
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,145.28302,-38.11182,4
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,146.7369,-38.01889,1
